codigo_boya,nombre_boya,tipo_boya,fecha,Hs_m,Hmax_m,Tm02_s,Tp_s,dir_media_oleaje_grados,dir_pico_oleaje_grados
1103,Bilbao costera,Costera,2007-12-10 02:00:00,8.37,13.72,10.45,14.26,338.0,341.0
1117,Gijón costera,Costera,2005-01-19 02:00:00,8.98,13.53,11.57,16.64,342.0,348.0
2136,Bilbao-Vizcaya,Exterior,2009-01-24 08:00:00,13.72,20.78,11.44,14.28,292.0,290.0
2242,Cabo de Peñas,Exterior,2007-12-09 21:00:00,12.18,23.28,11.86,16.66,315.0,319.0
