tipo_boya,registros,boyas_incluidas,Hs_media_m,Hs_mediana_m,Hs_desviacion_m,Hs_p90_m,Hs_p95_m,Hs_p99_m,Hs_maxima_m,Hmax_media_m,Tm02_media_s,Tp_media_s
Costera,291710,2,1.53,1.32,0.87,2.69,3.24,4.48,8.98,2.31,5.67,9.11
Exterior,318728,2,1.99,1.66,1.21,3.61,4.37,6.23,13.72,3.01,6.07,9.56
