tipo_boya,observaciones,media_Hs_m,mediana_Hs_m,percentil_25_Hs_m,percentil_75_Hs_m,percentil_95_Hs_m,maximo_Hs_m
Costera,291707,1.53,1.32,0.92,1.92,3.24,8.98
Exterior,318724,1.99,1.66,1.14,2.49,4.37,13.72
