codigo_boya,nombre_boya,numero_saltos,salto_medio_horas,salto_maximo_horas
1103,Bilbao costera,1527,23.48,7882.0
1117,Gijón costera,451,55.31,14330.0
2136,Bilbao-Vizcaya,455,28.53,1646.0
2242,Cabo de Peñas,158,123.84,2861.0
