codigo_boya,nombre_boya,zona,tipo_red,tipo_boya,fecha_inicio,fecha_fin,registros,Hs_m_validos,Hs_m_pct_validos,Hmax_m_validos,Hmax_m_pct_validos,Tm02_s_validos,Tm02_s_pct_validos,Tp_s_validos,Tp_s_pct_validos,dir_media_oleaje_grados_validos,dir_media_oleaje_grados_pct_validos,dir_pico_oleaje_grados_validos,dir_pico_oleaje_grados_pct_validos,velocidad_viento_ms_validos,velocidad_viento_ms_pct_validos,dir_viento_grados_validos,dir_viento_grados_pct_validos,presion_hpa_validos,presion_hpa_pct_validos,temperatura_aire_c_validos,temperatura_aire_c_pct_validos,temperatura_agua_c_validos,temperatura_agua_c_pct_validos,salinidad_psu_validos,salinidad_psu_pct_validos,velocidad_corriente_cms_validos,velocidad_corriente_cms_pct_validos,dir_corriente_grados_validos,dir_corriente_grados_pct_validos
2136,Bilbao-Vizcaya,Bilbao-Vizcaya,Red exterior,Exterior,2005-01-01,2024-12-30 23:00:00,164084,162765,99.2,156832,95.58,162761,99.19,162765,99.2,160576,97.86,160576,97.86,159827,97.41,151969,92.62,158714,96.73,156048,95.1,140156,85.42,128629,78.39,135455,82.55,136565,83.23
2242,Cabo de Peñas,Asturias/Gijón,Red exterior,Exterior,2005-01-01,2024-12-31 23:00:00,156065,155911,99.9,154686,99.12,155909,99.9,155911,99.9,155908,99.9,155908,99.9,149665,95.9,145919,93.5,149158,95.57,146172,93.66,149502,95.79,133126,85.3,147848,94.73,151288,96.94
